idCATEGORIA;idPRODUCTOS;CATEGORIA;DESCRIPCION DE LA CATEGORIA;CLASE;GENERO;ARMADOR;SERVICIO;NO.PARTE;ORIGEN;UNIDAD;SISTEMA
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;V4;Varese, S.A. de C.V.;Abrazaderas;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;B5;METROLUBRICANTES;Químicos;;;;;;;
;;D2;PRESTONE;Químicos;;;;;;;
;;D2;PRESTONE;Químicos;;;;;;;
;;D2;PRESTONE;Químicos;;;;;;;
